rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde 1;atrtribuutnaam 2;Waarde 2;atrtribuutnaam 3;Waarde 3;atrtribuutnaam 4;Waarde 4;atrtribuutnaam 5;Waarde 5;atrtribuutnaam 6;Waarde 6;atrtribuutnaam 7;Waarde 7
B1;;;";Frissestein";;;B1;;;vrije tekst;omschrijving;";Frissestein";;;;;;;;;;;;
B1;;;";geef spontaan uw richting aan!";;;B1;;;vrije tekst;omschrijving;";geef spontaan uw richting aan!";;;;;;;;;;;;
B1;;;";gemarkeerde weggedeelte vrijhouden";;;B1;;;vrije tekst;omschrijving;";gemarkeerde weggedeelte vrijhouden";;;;;;;;;;;;
B1;;;";Grotten-noord";;;B1;;;vrije tekst;omschrijving;";Grotten-noord";;;;;;;;;;;;
B4;;;";Haven";;;B4;;;vrije tekst;omschrijving;";Haven";;;;;;;;;;;;
B4;;;";Hotel Bos en Duinzicht";;;B4;;;vrije tekst;omschrijving;";Hotel Bos en Duinzicht";;;;;;;;;;;;
B1;;;";INRIT VRIJHOUDEN !";;;B1;;;vrije tekst;omschrijving;";INRIT VRIJHOUDEN !";;;;;;;;;;;;
B4;;;";KRUISVLAK VRIJHOUDEN";;;B4;;;vrije tekst;omschrijving;";KRUISVLAK VRIJHOUDEN";;;;;;;;;;;;
B6;;;";laden / lossen Buitenom 21-269";;;B6;;;vrije tekst;omschrijving;";laden / lossen Buitenom 21-269";;;;;;;;;;;;
B6;;;";LET OP ! Fietsers voorrang";;;B6;;;Waarschuwing;omschrijving;";LET OP ! Fietsers voorrang";;;;;;;;;;;;
B5;;;";let op ! naar rijbaan";;;B5;;;Waarschuwing;omschrijving;";let op ! naar rijbaan";;;;;;;;;;;;
B7;;;";let op (brom)fietsers !";;;B7;;;Waarschuwing;omschrijving;";let op (brom)fietsers !";;;;;;;;;;;;
B6;;;";Let op fietsers";;;B6;;;Waarschuwing;omschrijving;";Let op fietsers";;;;;;;;;;;;
B6;;;";Let op fietsers van beide kanten";;;B6;;;Waarschuwing;omschrijving;";Let op fietsers van beide kanten";;;;;;;;;;;;
B6;;;";Let op!";;;B6;;;Waarschuwing;omschrijving;";Let op!";;;;;;;;;;;;
B7;;;";Let op!";;;B7;;;Waarschuwing;omschrijving;";Let op!";;;;;;;;;;;;
B6;;;";LET OP! FIETSERS";;;B6;;;Waarschuwing;omschrijving;";LET OP! FIETSERS";;;;;;;;;;;;
B6;;;";LET OP! OVERSTEKENDE FIETSERS";;;B6;;;Waarschuwing;omschrijving;";LET OP! OVERSTEKENDE FIETSERS";;;;;;;;;;;;
B1;;;";let op! uitritten";;;B1;;;Waarschuwing;omschrijving;";let op! uitritten";;;;;;;;;;;;
B6;;;";na 40 m";;;B6;;;Lengte na;Werkingslangte na;40;;;;;;;;;;;;
B6;;;";onleesbaar";;;B6;;;vrije tekst;omschrijving;";onleesbaar";;;;;;;;;;;;
B6;;;";onleesbaar paneel";;;B6;;;vrije tekst;omschrijving;";onleesbaar paneel";;;;;;;;;;;;
B1;;;";OOST 1";;;B1;;;vrije tekst;omschrijving;";OOST 1";;;;;;;;;;;;
B6;;;";Op Zaterdag verboden te parkeren i.v.m. verkoopwagen";;;B6;;;vrije tekst;omschrijving;";Op Zaterdag verboden te parkeren i.v.m. verkoopwagen";;;;;;;;;;;;
B6;;;";Oprijden tot Stopstreep";;;B6;;;vrije tekst;omschrijving;";Oprijden tot Stopstreep";;;;;;;;;;;;
B6;;;";Parkeervakken zijn eigen terrein. Parkeren alleen met toestemming van eigenaar zoals aangeduid";;;B6;;;vrije tekst;omschrijving;";Parkeervakken zijn eigen terrein. Parkeren alleen met toestemming van eigenaar zoals aangeduid";;;;;;;;;;;;
B6;;;";Parkeervakken zijn eigen terrein. Parkeren alleen met toestemming van eigenaar zoals aangeduid.";;;B6;;;vrije tekst;omschrijving;";Parkeervakken zijn eigen terrein. Parkeren alleen met toestemming van eigenaar zoals aangeduid.";;;;;;;;;;;;
B6;;;";Parkeervakken zijn eigen terrein.Parkeren alleen met toestemming van eigenaar zoals aangeduid.";;;B6;;;vrije tekst;omschrijving;";Parkeervakken zijn eigen terrein.Parkeren alleen met toestemming van eigenaar zoals aangeduid.";;;;;;;;;;;;
B5;;;";Parkeren personeel Amphia";;;B5;;;vrije tekst;omschrijving;";Parkeren personeel Amphia";;;;;;;;;;;;
B4;;;";PAS OP ! SPELENDE KINDEREN";;;B4;;;Waarschuwing;omschrijving;";PAS OP ! SPELENDE KINDEREN";;;;;;;;;;;;
B6;;;";pas op overstekende fietsers";;;B6;;;Waarschuwing;omschrijving;";pas op overstekende fietsers";;;;;;;;;;;;
B6;;;";pas op overstekende fietsers;pas op overstekende fietsers";;;B6;;;Waarschuwing;omschrijving;";pas op overstekende fietsers;pas op overstekende fietsers";;;;;;;;;;;;
B4;;;";RIJBANEN VRIJHOUDEN VOOR KRUISEND VERKEER";;;B4;;;vrije tekst;omschrijving;";RIJBANEN VRIJHOUDEN VOOR KRUISEND VERKEER";;;;;;;;;;;;
B5;;;";Shopcentre Zijlkwartier de Splinterlaan";;;B5;;;vrije tekst;omschrijving;";Shopcentre Zijlkwartier de Splinterlaan";;;;;;;;;;;;
B5;;;";Show your Passport Driverslicance at Security";;;B5;;;vrije tekst;omschrijving;";Show your Passport Driverslicance at Security";;;;;;;;;;;;
B4;;;";situatie gewijzigd;bewoners Tudorpark";;;B4;;;vrije tekst;omschrijving;";situatie gewijzigd;bewoners Tudorpark";;;;;;;;;;;;
B6;;;";Snorfietsen op Prins Hendrikkade op fietspad";;;B6;;;vrije tekst;omschrijving;";Snorfietsen op Prins Hendrikkade op fietspad";;;;;;;;;;;;
B4;;;";SPORTCENTRUM RESTAURANT SAUNA";;;B4;;;vrije tekst;omschrijving;";SPORTCENTRUM RESTAURANT SAUNA";;;;;;;;;;;;
B4;;;";Sportpark RANDHOORN";;;B4;;;vrije tekst;omschrijving;";Sportpark RANDHOORN";;;;;;;;;;;;
B6;;;";U nadert het knooppunt";;;B6;;;vrije tekst;omschrijving;";U nadert het knooppunt";;;;;;;;;;;;
B7;;;";U verlaat een uitrit";;;B7;;;vrije tekst;omschrijving;";U verlaat een uitrit";;;;;;;;;;;;
B6;;;";uitgezonderd";;;B6;;;vrije tekst;omschrijving;";uitgezonderd";;;;;;;;;;;;
B6;;;";uitgezonderd;Keerkom voor grote voertuigen na 750 m";;;B6;;;vrije tekst;omschrijving;";uitgezonderd;Keerkom voor grote voertuigen na 750 m";;;;;;;;;;;;
B6;;;";UITRIT";;;B6;;;vrije tekst;omschrijving;";UITRIT";;;;;;;;;;;;
B6;;;";Uitrit Brandweer";;;B6;;;vrije tekst;omschrijving;";Uitrit Brandweer";;;;;;;;;;;;
B6;;;";Verboden in te rijden voor Bouwverkeer";;;B6;;;vrije tekst;omschrijving;";Verboden in te rijden voor Bouwverkeer";;;;;;;;;;;;
B4;;;";Voorrangssituatie Gewijzigd";;;B4;;;vrije tekst;omschrijving;";Voorrangssituatie Gewijzigd";;;;;;;;;;;;
B6;;;";Voorrangssituatie gewijzigd";;;B6;;;vrije tekst;omschrijving;";Voorrangssituatie gewijzigd";;;;;;;;;;;;
