rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;
C3;;;"uitgezonderd;na 130 m i.v.m. weekmarkt wo 0730-2000 h za 0730-1900 h";;;C3;;;Lengte na;
C1;;;"uitgezonderd;uitgezonderd brommobielen";;;C1;;;"Uitgezonderd; lengte na";
C12;;;na 350 m.;;;C12;;;;
C1;;;toegang alleen voor ontheffinghouders;;;C1;;;uitgezonderd;
C1;;;m.u.v rouw-auto s;;;C1;;;uitgezonderd;
C1;;;Uitgezonderd invalide personeel en fietsers;;;C1;;;uitgezonderd;
C6;;;Viaduct afgesloten voor onbepaalde onleesbaar Voor meer infoormatie: gouda.onleesbaar;;;C6;;;;
C2;;;uitgezonderd vrachtverkeer Intratuin;;;C2;;;uitgezonderd;
C1;;;"uitgezonderd fietsers en bevoorradend verkeer;VERBODEN TOEGANG VAN 7-7 TOT 31/8 TUSSEN 19:00 EN 09:00 UUR";;;C1;;;"verboden toegang; uitgezonderd; tijdstipaanduiding; datumaanduiding";
C1;;;"uitgezonderd lijnbussen;uitgezonderd;";;;C1;;;uitgezonderd;
C2;;;Na 160 m;;;C2;;;Lengte na;
C7(Zone);;;Uitgezonderd bestemmingsverkeer kern Drimmelen;;;C7(Zone);;;uitgezonderd;
C3;;;7451;;;C3;;;;
C3;;;LET OP! BLAUWE ZONE Denk aan je parkeerschijf (maximaal 2 uur);;;C3;;;vrije tekst;
C7;;;NA 1;2 km;;C7;;;;
C7;;;Na 300m;;;C7;;;;
C17;12;;Na 300 m;;;C17;;;Lengte na;
C6;;;uitgezonderd huurders garageboxen;;;C6;;;uitgezonderd;
C1;;;UITGEZONDERD ontheffinghouders leveranciers van goederen medewerkers sportbedrijf Gemeente Arnhem;;;C1;;;uitgezonderd;
C3;;;Genummerde parkeerplaatsen voor bewoners Bezoekersplaatsen om de hoek;;;C3;;;vrije tekst;
C12;;;BEHALVE GEBRUIKERS VAN AANLIGGENDE PERCELEN;;;C12;;;;
C19;;;20m;;;C19;;;;
C3;;;Let op ! uitrit garages;;;C3;;;;
C3;;;oprijden tot stopstreep;;;C3;;;;
C7;;;na 80 m;;;C7;;;Lengte na;
C1;;;zaterdag 06:00-18:00h;;;C1;;;"dagaanduiding;tijdstipaanduiding";
C1;;;uitgezonderd ontheffings houders en ( brom ) fietsers;;;C1;;;uitgezonderd;
C12;;;"uitgezonderd bestemmingsverkeer;Let op! Lengtebeperking van 10 m";;;C12;;;uitgezonderd;
C12;;;uitsluitend bestemmings- verkeer en houders invaliden- parkeerkaart;;;C12;;;vrije tekst;
C2;;;Bezoekers KAD;;;C2;;;vrije tekst;
C6;;;ma. t/m vr. van 7;30-sep;"30 u;800m;ontheffinghouders uitgezonderd";C6;;;;
C19;3.1;;1400 m;;;C19;;;;
