naam,bovenliggend,Omschrijving,attribuut,eenheid,datatype,waarde
Onderbordrijrichting,Onderbord,Onderbord met pijlen die aanduiden in welke richting men mag rijden,,,,
Parkeerinstructie,Onderbord,Onderbord met parkeerinstructie,,,,
TijdenOnderbord,Onderbord,Onderbord dat een beperkte geldigheid van het bord aanduidt in een beperkte periode,,,,
Uitgezonderd voertuigtype,Onderbord,Onderbord met tekstuele of visuele aanduiding uitgezonderd voertype,,,xsd:string,
Waarschuwingsbord,Onderbord,Onderbord met waarschuwing,,,,
WegtyperingsOnderbord,Onderbord,Onderbord dat het type wegvak of kruising aangeeft,,,,
B501-L,Onderbordrijrichting,Onderbord met pijlen die aanduiden dat men alleen naar links mag rijden,Omschrijving,,,{links}
OB501-R,Onderbordrijrichting,Onderbord met pijlen die aanduiden dat men alleen naar rechts mag rijden,Omschrijving,,,{rechts}
OB502,Onderbordrijrichting,Onderbord met pijlen die aanduiden dat men naar links en naar rechts mag rijden,Omschrijving,,,{links-rechts-in2richtingen}
OB503,Onderbordrijrichting,Onderbord met pijlen die aanduiden dat men naar echts en linksmag rijden,Omschrijving,,,{rechts-links-in2richtingen}
OB504,Onderbordrijrichting,Onderbord met pijlen die aanduiden dat men naar links en naar rechts mag rijden,Omschrijving,,,{links-rechts}
OB611,Slipgevaar,,,,,
Zonsopkomst,Tijdenonderbord,Onderbord dat aangeeft dat het verkeersbord niet geldt van zonsopkomst tot zonsondergang,,,,
OB103,Uitgezonderd voertuigtype,Onderbord met tekstuele aanduiding uitgezonderd politie,Omschrijving,,,Uitgezonderd politie
OB104,Uitgezonderd voertuigtype,Onderbord met tekstuele aanduiding uitgezonderd lijnbussen,Omschrijving,,,Uitgezonderd lijnbussen
OB108,Uitgezonderd voertuigtype,Onderbord met tekstuele aanduiding uitgezonderd bestemmingsverkeer,Omschrijving,,,Uitgezonderd bestemmingsverkeer
OB109,Uitgezonderd voertuigtype,Onderbord met tekstuele aanduiding uitgezonderd aangrenzende percelen,Omschrijving,,,Uitgezonderd aangrenzende percelen
OB113,Uitgezonderd voertuigtype,Onderbord met visuele en tekstuele aanduiding uitgezonderd vrachtwagens voorzien van gezichtsveldverbeterende voorzieningen,,,,
OB113,Uitgezonderd voertuigtype,Onderbord dat uitzondering aangeeft voor vrachtwagens voorzien van gezichtsveldverbeterende voorzieningen,Omschrijving,,,Uitgezonderd {vrachtwagens} voorzien van gezichtsveldverbeterende voorzieningen
OB305,Uitgezonderd voertuigtype,Onderbord met aanduiding kenteken,,,,
OB51,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype ruiters,Omschrijving,,,{uitgezonderd-ruiter}
OB52,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype fietsers,Omschrijving,,,{uitgezonderd-fietser}
OB53,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype bromfietsers,Omschrijving,,,{uitgezonderd-bromfietser}
OB54,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype bromfietsers en fietsers,Omschrijving,,,{uitgezonderd-(brom)fietsers}
OB55,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype tractoren,Omschrijving,,,{uitgezonderd-tractor}
OB56,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype motoren,Omschrijving,,,{uitgezonderd-motor}
OB57,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype auto's en motoren,Omschrijving,,,{uitgezonderd-auto-motor}
OB58,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype auto's,Omschrijving,,,{uitgezonderd-auto-voorkant}
OB59,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype auto's,Omschrijving,,,{uitgezonderd-auto-zijkant}
OB60,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype voertuigen met aanhanger,Omschrijving,,,{uitgezonderd-aanhanger}
OB61,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype vrachtauto's,Omschrijving,,,{uitgezonderd-vrachtauto}
OB62,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype bussen,Omschrijving,,,Asverspringingen
OB63,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype vrachtauto's en bussen,Omschrijving,,,{uitgezonderd-vrachtauto-bus}
OB64,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype trams,Omschrijving,,,{uitgezonderd-tram}
OB65,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype brommobielen,Omschrijving,,,Uitgezonderd brommobielen
OB66,Uitgezonderd voertuigtype,Onderbord met visuele aanduiding uitgezonderd voertype gehandicaptenvoertuigen,Omschrijving,,,Uitgezonderd-gehandicaptenvoertuigen
OB17,Waarschuwingsonderbord,Onderbord met waarschuwing voor overhangende takken,Omschrijving,,,{overhangende-takken}
OB18,Waarschuwingsonderbord,Onderbord met waarschuwing voor zachte berm rechts,Omschrijving,,,{zachte-berm-rechts}
OB19,Waarschuwingsonderbord,Onderbord met waarschuwing voor zachte berm links,Omschrijving,,,{zachte-berm-links}
OB301,Waarschuwingsonderbord,Onderbord met visuele waarschuwing voor wielklemregeling,Omschrijving,,,{wielklemregeling}
OB302,Waarschuwingsonderbord,Onderbord met visuele waarschuwing voor wielklem- en wegsleepregeling,Omschrijving,,,{wielklemregeling-wegslepen}
OB303,Waarschuwingsonderbord,Onderbord met visuele waarschuwing voor wegsleepregeling,Omschrijving,,,{wegslepen}
OB304,Waarschuwingsonderbord,Onderbord met visuele en tekstuele waarschuwing voor wegsleepregeling,Omschrijving,,,{wegslepen} Wegsleepregeling van kracht 
OB305,Waarschuwingsonderbord,Onderbord met visuele en tekstuele waarschuwing voor fietsen worden verwijderd,Omschrijving,,,{fiets} worden verwijderd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C17,,,,,,,,
OB307,Waarschuwingsonderbord,Onderbord met visuele en tekstuele waarschuwing voor alleen chipknip,Omschrijving,,,{chipknip} alleen chipknip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18,,,,,,,,
OB308,Waarschuwingsonderbord,Onderbord met visuele en tekstuele waarschuwing voor alleen pinpas,Omschrijving,,,{pinpas} alleen pinpas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C19,,,,,,,
OB505,Waarschuwingsonderbord,Tegenliggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20,,,,,,
OB601,Waarschuwingsonderbord,Onderbord met waarschuwing voor zachte berm,Omschrijving,,,Zachte berm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C21,,,,,,
