rvvCode; blackCode; zoneCode; textSigns;;;;;;Naam; Snelheid;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde onderbord 1;atrtribuutnaam 2;Waarde onderbord 2
A1;;;19-6h;;;;;;A1;;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A4;60;;1km;;;;;;A4;60;;Werkingslengte;werkingslengte;1000;;
A4;40;;2 drempels;;;;;;A4;40;;Waarschuwing;Omschrijving;2 drempels;;
A3;;;2 km;;;;;;A3;;;Werkingslengte;werkingslengte;00:00:00;;
A1;30;;2 x;;;;;;A1;30;;Vrije tekst;Omschrijving;2 x;;
A1;30;;2 X;;;;;;A1;30;;Vrije tekst;Omschrijving;2 X;;
A1(Zone);30;;20 - 7 h;;;;;;A1;30;Zone;Tijdstipaanduiding;starttijd;20:00:00;eindtijd;07:00:00
A1;100;;200 m;;;;;;A1;100;;Werkingslengte;werkingslengte;200;;
A1;50;;200 m;;;;;;A1;50;;Werkingslengte;werkingslengte;200;;
A1;60;;200 m;;;;;;A1;60;;Werkingslengte;werkingslengte;200;;
A1;80;;200 m;;;;;;A1;80;;Werkingslengte;werkingslengte;200;;
A3;;;200 m;;;;;;A3;;;Werkingslengte;werkingslengte;200;;
A3;;;200 m;;;;;;A3;;;Werkingslengte;werkingslengte;200;;
A4;60;;200 m;;;;;;A4;60;;Werkingslengte;werkingslengte;200;;
A3;;;2000 m;;;;;;A3;;;Werkingslengte;werkingslengte;2000;;
A1;80;;200m;;;;;;A1;80;;Werkingslengte;werkingslengte;200;;
A3;;;200m;;;;;;A3;;;Werkingslengte;werkingslengte;200;;
A4;30;;200m;;;;;;A4;30;;Werkingslengte;werkingslengte;200;;
A1;15;;24 UUR onleesbaar;;;;;;A1;15;;Vrije tekst;Omschrijving;24 UUR onleesbaar;;
A1;60;;250 m;;;;;;A1;60;;Werkingslengte;werkingslengte;250;;
A1;90;;250 m;;;;;;A1;90;;Werkingslengte;werkingslengte;250;;
A1(Zone);30;;250 m;;;;;;A1;30;Zone;Werkingslengte;werkingslengte;250;;
A3;;;250 m;;;;;;A3;;;Werkingslengte;werkingslengte;250;;
A3;;;26km;;;;;;A3;;;Werkingslengte;werkingslengte;26000;;
A3;;;27 km;;;;;;A3;;;Werkingslengte;werkingslengte;27000;;
A3;;;270 m;;;;;;A3;;;Werkingslengte;werkingslengte;270;;
A1;30;;2X drempels;;;;;;A1;30;;Waarschuwing;Omschrijving;2X drempels;;
A1;50;;3 km;5 ton;;;;;A1;50;;Werkingslengte;werkingslengte;3 km;;
A1;15;;3 x;;;;;;A1;15;;Vrije tekst;Omschrijving;3x;;
A3;;;30 m;;;;;;A3;;;Werkingslengte;werkingslengte;30;;
A3;;;30 m;;;;;;A3;;;Werkingslengte;werkingslengte;30;;
A1;50;;300 m;;;;;;A1;50;;Werkingslengte;werkingslengte;300;;
A1;70;;300 m;;;;;;A1;70;;Werkingslengte;werkingslengte;300;;
A1;80;;300 m;;;;;;A1;80;;Werkingslengte;werkingslengte;300;;
A1;90;;300 m;;;;;;A1;90;;Werkingslengte;werkingslengte;300;;
A3;;;300 m;;;;;;A3;;;Werkingslengte;werkingslengte;300;;
A3;;;300 m;;;;;;A3;;;Werkingslengte;werkingslengte;300;;
A3;;;300 m;;;;;;A3;;;Werkingslengte;werkingslengte;300;;
